rdc;token;value_de;value_en
DDC;0;Informatik, Informationswissenschaft & allgemeine Werke;Computer science, information & general works
DDC;1;Wissen;Knowledge
DDC;2;Das Buch;The book
DDC;3;Systeme;Systems
DDC;4;Informatik;Data processing & computer science
DDC;5;Computerprogrammierung, Computerprogramme & Daten;Computer programming, programs & data
DDC;6;Spezielle Computerverfahren;Special computer methods
DDC;7;Unbesetzt;Unassigned
DDC;8;Unbesetzt;Unassigned
DDC;9;Unbesetzt;Unassigned
DDC;10;Bibliografie;Bibliography
DDC;11;Bibliografien & Kataloge;Bibliographies
DDC;12;Bibliografien & Kataloge von Einzelpersonen;Bibliographies of individuals
DDC;13;Unbesetzt;Unassigned
DDC;14;Anonymer & pseudonymer Werke;Of anonymous & pseudonymous works
DDC;15;Von Werken aus einzelnen Orten;Bibliographies of works from specific places
DDC;16;Von Werken über einzelne Themen;Bibliographies of works on specific subjects
DDC;17;Allgemeinbibliografien;General subject catalogs
DDC;18;Unbesetzt;Catalogs arranged by author, date, etc.
DDC;19;Unbesetzt;Dictionary catalogs
DDC;20;Bibliotheks- & Informationswissenschaften;Library & information sciences
DDC;21;Beziehungen von Bibliotheken;Library relationships
DDC;22;Verwaltung von Bibliotheksgebäuden und Bibliotheksstandorten;Administration of physical plant
DDC;23;Personalmanagement;Personnel management
DDC;24;Unbesetzt;Unassigned
DDC;25;Tätigkeiten in Bibliotheken;Library operations
DDC;26;Fachgebiets- & themenspezifische Bibliotheken;Libraries for specific subjects
DDC;27;Allgemeinbibliotheken;General libraries
DDC;28;Lesen & Nutzung anderer Informationsmedien;Reading & use of other information media
DDC;29;Unbesetzt;Unassigned
DDC;30;Allgemeinenzyklopädien;General encyclopedic works
DDC;31;Enzyklopädien in amerikanischem Englisch;Encyclopedias in American English
DDC;32;Enzyklopädien in Englisch;Encyclopedias in English
DDC;33;In anderen germanischen Sprachen;In other Germanic languages
DDC;34;Enzyklopädien in Französisch, Okzitanisch & Katalanisch;Encyclopedias in French, Occitan & Catalan
DDC;35;In Italienisch, Rumänisch & verwandten Sprachen;In Italian, Romanian & related languages
DDC;36;Enzyklopädien in Spanisch, Portugiesisch & Galicisch;Encyclopedias in Spanish & Portuguese
DDC;37;Enzyklopädien in slawischen Sprachen;Encyclopedias in Slavic languages
DDC;38;Enzyklopädien in skandinavischen Sprachen;Encyclopedias in Scandinavian languages
DDC;39;Enzyklopädien in anderen Sprachen;Encyclopedias in other languages
DDC;40;Unbesetzt;Unassigned
DDC;41;Unbesetzt;Unassigned
