rdc;token;value_de;value_en
Component.Language;aar;Danakil-Sprache;Afar
Component.Language;abk;Abchasisch;Abkhazian
Component.Language;ace;Aceh-Sprache;Achinese
Component.Language;ach;Acholi-Sprache;Acoli
Component.Language;ada;Adangme-Sprache;Adangme
Component.Language;ady;Adygisch;Adyghe, Adygei
Component.Language;afa;Hamitosemitische Sprachen;Afro-Asiatic language.isos
Component.Language;afh;Afrihili;Afrihili
Component.Language;afr;Afrikaans;Afrikaans
Component.Language;ain;Ainu-Sprache;Ainu
Component.Language;aka;Akan-Sprache;Akan
Component.Language;akk;Akkadisch;Akkadian
Component.Language;alb;Albanisch;Albanian
Component.Language;ale;Aleutisch;Aleut
Component.Language;alg;Algonkin-Sprachen;Algonquian language.isos
Component.Language;alt;Altaisch;Southern Altai
Component.Language;amh;Amharisch;Amharic
Component.Language;ang;Altenglisch;"English; Old (ca.450-1100)"
Component.Language;anp;Anga-Sprache;Angika
Component.Language;apa;Apachen-Sprache;Apache language.isos
Component.Language;ara;Arabisch;Arabic
Component.Language;arc;Aramäisch;Official Aramaic (700-300 BCE), Imperial Aramaic (700-300 BCE)
Component.Language;arg;Aragonesisch;Aragonese
Component.Language;arm;Armenisch;Armenian
Component.Language;arn;Arauka-Sprachen;Mapudungun, Mapuche
Component.Language;arp;Arapaho-Sprache;Arapaho
Component.Language;art;Kunstsprache;Artificial language.isos
Component.Language;arw;Arawak-Sprachen;Arawak
Component.Language;asm;Assamesisch;Assamese
Component.Language;ast;Asturisch;Asturian, Bable, Leonese, Asturleonese
Component.Language;ath;Athapaskische Sprachen;Athapascan language.isos
Component.Language;aus;Australische Sprachen;Australian language.isos
Component.Language;ava;Awarisch;Avaric
Component.Language;ave;Avestisch;Avestan
Component.Language;awa;Awadhī;Awadhi
Component.Language;aym;Aymará-Sprache;Aymara
Component.Language;aze;Aserbeidschanisch;Azerbaijani
Component.Language;bad;Banda-Sprache;Banda language.isos
Component.Language;bai;Bamileke-Sprache;Bamileke language.isos
Component.Language;bak;Baschkirisch;Bashkir
Component.Language;bal;Belutschisch;Baluchi
Component.Language;bam;Bambara-Sprache;Bambara
Component.Language;ban;Balinesisch;Balinese
Component.Language;baq;Baskisch;Basque
Component.Language;bas;Basaa-Sprache;Basa
Component.Language;bat;Baltische Sprachen;Baltic language.isos
Component.Language;bej;Bedauye;Beja, Bedawiyet
Component.Language;bel;Weißrussisch;Belarusian
Component.Language;bem;Bemba-Sprache;Bemba
Component.Language;ben;Bengali;Bengali
Component.Language;ber;Berbersprachen;Berber language.isos
Component.Language;bho;Bhojpurī;Bhojpuri
Component.Language;bih;Bihari;Bihari language.isos
Component.Language;bik;Bikol-Sprache;Bikol
Component.Language;bin;Edo-Sprache;Bini, Edo
Component.Language;bis;Beach-la-mar;Bislama
Component.Language;bla;Blackfoot-Sprache;Siksika
Component.Language;bnt;Bantusprachen;Bantu language.isos
Component.Language;bos;Bosnisch;Bosnian
Component.Language;bra;Braj-Bhakha;Braj
Component.Language;bre;Bretonisch;Breton
Component.Language;btk;Batak-Sprache;Batak language.isos
Component.Language;bua;Burjatisch;Buriat
Component.Language;bug;Bugi-Sprache;Buginese
Component.Language;bul;Bulgarisch;Bulgarian
Component.Language;bur;Birmanisch;Burmese
Component.Language;byn;Bilin-Sprache;Blin, Bilin
Component.Language;cad;Caddo-Sprachen;Caddo
Component.Language;cai;Zentralamerikanisch-indigen;Central American Indian language.isos
Component.Language;car;Karibische Sprachen;Galibi Carib
Component.Language;cat;Katalanisch;Catalan, Valencian
Component.Language;cau;Kaukasische Sprachen;Caucasian language.isos
Component.Language;ceb;Cebuano;Cebuano
Component.Language;cel;Keltische Sprachen;Celtic language.isos
Component.Language;cha;Chamorro-Sprache;Chamorro
Component.Language;chb;Chibcha-Sprachen;Chibcha
Component.Language;che;Tschetschenisch;Chechen
Component.Language;chg;Tschagataisch;Chagatai
Component.Language;chi;Chinesisch;Chinese
Component.Language;chk;Trukesisch;Chuukese
Component.Language;chm;Tscheremissisch;Mari
Component.Language;chn;Chinook-Jargon;Chinook jargon
Component.Language;cho;Choctaw-Sprache;Choctaw
Component.Language;chp;Chipewyan-Sprache;Chipewyan, Dene Suline
Component.Language;chr;Cherokee-Sprache;Cherokee
Component.Language;chu;Kirchenslawisch;Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic
Component.Language;chv;Tschuwaschisch;Chuvash
Component.Language;chy;Cheyenne-Sprache;Cheyenne
Component.Language;cmc;Cham-Sprachen;Chamic language.isos
Component.Language;cnr;Montenegrinisch;Montenegrin
Component.Language;cop;Koptisch;Coptic
Component.Language;cor;Kornisch;Cornish
