token;desc_de;desc_en
Update.Status;Update Status;Update Status
Update.Type;Update Type;Update Type
Contact.Content.Type; Contact Content Type; Contact Content Type
Contact.Type; Contact Type; Contact Type
Country;Country;Country
CuratoryGroup.Type;CuratoryGroup Type;CuratoryGroup Type
Currency;Currency;Currency
DDC;Dewey-Dezimalklassifikation;Dewey Decimal Classification
DeletedComponent.Status;DeletedComponent Status;DeletedComponent Status
IdentifierNamespace.TargetType;Identifier Namespace Target Type;Identifier Namespace Target Type
Job.Type;Job Type;Job Type
Component.Language;Component Language;Component Language
Component.Status;Component Status;Component Status
ComponentVariantName.Locale;Component VariantName Locale;Component VariantName Locale
ComponentVariantName.Status;Component VariantName Status;Component VariantName Status
ComponentVariantName.VariantType;Component VariantName VariantType;Component VariantName VariantType
Org.Role;Org Role;Org Role
Vendor.Role;Vendor Role;Vendor Role
Package.Breakable;Package Breakable;Package Breakable
Package.Consistent;Package Consistent;Package Consistent
Package.ContentType;Package Content Type;Package Content Type
Package.Editing.Status;Package Editing Status;Package Editing Status
Package.File;Package File;Package File
Package.Global;Package Global;Package Global
Package.OpenAccess;Package Open Access;Package Open Access
Package.RegionalRange; Package RegionalRange; Package RegionalRange
Package.PaymentType;Package Payment Type;Package Payment Type
Package.Scope;Package Scope;Package Scope
PackageArchivingAgency.ArchivingAgency;Archiving Agency;Archiving Agency
PackageArchivingAgency.OpenAccess;Open Access;Open Access
PackageArchivingAgency.PostCancellationAccess;Post-Cancellation Access;Post-Cancellation Access
Platform.Federation;Platform Federation;Platform Federation
Platform.IPAuthentication;Platform IP Authentication;Platform IP Authentication
Platform.Role;Platform Role;Platform Role
Platform.Roles;Platform Roles;Platform Roles
Platform.Service;Platform Service;Platform Service
Platform.Software;Platform Software;Platform Software
Platform.Statistics.Format;Platform Statistics Format;Platform Statistics Format
Platform.Statistics.Update;Platform Statistics Update;Platform Statistics Update
Platform.Sushi.Api.Authentication.Method;Platform Sushi Api Authentication Method;Platform Sushi Api Authentication Method
Price.type;Price type;Price type
Source.DataFormat;Source Data Format;Source Data Format
Source.DataSupplyMethod;Source Data Supply Method;Source Data Supply Method
Source.Frequency;Source Frequency;Source Frequency
TIPPCoverageStatement.CoverageDepth;Title CoverageStatement Coverage Depth;Title CoverageStatement Coverage Depth
TitleInstancePackagePlatform.AccessType;Title Access Type;Title Access Type
TitleInstancePackagePlatform.CoverageDepth;Title Coverage Depth;Title Coverage Depth
TitleInstancePackagePlatform.DelayedOA;Title Delayed OA;Title Delayed OA
TitleInstancePackagePlatform.Medium;Title Medium;TitleInstancePackagePlatform Medium
TitleInstancePackagePlatform.OpenAccess;Title Open Access;Title Open Access
TitleInstancePackagePlatform.Primary;Title Primary;Title Primary
TitleInstancePackagePlatform.PublicationType;Title Publication Type;Title Publication Type
Vendor.SupportedLibrarySystem;Supported Library System;Supported Library System
Vendor.ElectronicBilling;Electronic Billing;Electronic Billing
Vendor.InvoiceDispatch;Invoice Dispatch;Invoice Dispatch
Vendor.ElectronicDeliveryDelay;Electronic Delivery Delay;Electronic Delivery Delay
YN;YN;YN
